row_type,model,arm,feature,metric,first_window,n_runs,alternative,n_authors,estimate,ci_low,ci_high,wilcoxon_p,window_index
delta,human,human_interior,f1,target_kl,1,52,two-sided,19,0.01489581267741732,-0.0015112729625793736,0.03866592673503593,0.3320655822753906,
delta,human,human_interior,f1,target_margin,1,52,two-sided,19,-0.004107682211267919,-0.019566826998031205,0.008793809526587003,0.76800537109375,
delta,human,human_interior,f1,target_rank,1,52,two-sided,19,-0.2807017543859649,-0.982456140350877,0.38618421052631463,0.568889810834584,
delta,human,human_interior,f1,target_hit,1,52,two-sided,19,0.017543859649122806,-0.10526315789473684,0.14035087719298245,0.5889603527025324,
delta,human,human_interior,f3,target_kl,1,52,two-sided,19,0.02936612765668085,-0.002592056537918251,0.07546212014438024,0.312408447265625,
delta,human,human_interior,f3,target_margin,1,52,two-sided,19,-0.0014487035942795361,-0.01964470095056212,0.019431610895308916,0.7982521057128906,
delta,human,human_interior,f3,target_rank,1,52,two-sided,19,-0.11403508771929828,-0.7456140350877192,0.5263157894736842,0.8010110482671782,
delta,human,human_interior,f3,target_hit,1,52,two-sided,19,-0.043859649122807015,-0.15789473684210525,0.07894736842105261,0.5929800980174267,
position,flash,c1_pooled,f1,target_hit,,400,,20,0.1075,0.04,0.18249999999999997,,1
position,flash,c1_pooled,f1,target_kl,,400,,20,0.11401610537952742,0.09897688566531358,0.1294340210581884,,1
position,flash,c1_pooled,f1,target_margin,,400,,20,-0.06553912187669544,-0.08406535874058818,-0.04794407528111606,,1
position,flash,c1_pooled,f1,target_rank,,400,,20,8.454999999999998,6.584750000000001,10.432500000000001,,1
position,flash,c1_pooled,f1,target_hit,,400,,20,0.0775,0.024999999999999998,0.1425,,2
position,flash,c1_pooled,f1,target_kl,,400,,20,0.14734021525364793,0.12250066271583918,0.17689351940887424,,2
position,flash,c1_pooled,f1,target_margin,,400,,20,-0.09497837707464221,-0.12351379036454867,-0.0678149922053887,,2
position,flash,c1_pooled,f1,target_rank,,400,,20,9.559999999999999,7.317375,11.788249999999996,,2
position,flash,c1_pooled,f1,target_hit,,400,,20,0.08249999999999999,0.025,0.14750000000000002,,3
position,flash,c1_pooled,f1,target_kl,,400,,20,0.15859314791016724,0.13022418156515325,0.1929019171975463,,3
position,flash,c1_pooled,f1,target_margin,,400,,20,-0.10430454099079997,-0.139733626892108,-0.07354556121598227,,3
position,flash,c1_pooled,f1,target_rank,,400,,20,9.875,7.644562500000001,12.092562500000001,,3
position,flash,c1_pooled,f1,target_hit,,400,,20,0.08249999999999999,0.0225,0.15,,4
position,flash,c1_pooled,f1,target_kl,,400,,20,0.1560377766516639,0.1301875267813182,0.1870794457025652,,4
position,flash,c1_pooled,f1,target_margin,,400,,20,-0.10322124393134693,-0.13699469487838167,-0.0728532146088226,,4
position,flash,c1_pooled,f1,target_rank,,400,,20,9.8975,7.6024375000000015,12.139999999999997,,4
position,flash,c1_pooled,f1,target_hit,,400,,20,0.075,0.025,0.13999999999999996,,5
position,flash,c1_pooled,f1,target_kl,,400,,20,0.16672848187244654,0.13601761897126613,0.20382631493983966,,5
position,flash,c1_pooled,f1,target_margin,,400,,20,-0.11040162507808063,-0.1449901816898092,-0.07859933234209215,,5
position,flash,c1_pooled,f1,target_rank,,400,,20,10.190000000000001,7.927250000000001,12.492625,,5
position,flash,c1_pooled,f3,target_hit,,400,,20,0.12500000000000003,0.052500000000000005,0.21000000000000002,,1
position,flash,c1_pooled,f3,target_kl,,400,,20,0.23333572388864607,0.20472834324632935,0.26348236622755666,,1
position,flash,c1_pooled,f3,target_margin,,400,,20,-0.12025583541311424,-0.15644837433979983,-0.08412916370117883,,1
position,flash,c1_pooled,f3,target_rank,,400,,20,8.7775,6.939937499999999,10.770249999999999,,1
position,flash,c1_pooled,f3,target_hit,,400,,20,0.0925,0.0325,0.1675624999999997,,2
position,flash,c1_pooled,f3,target_kl,,400,,20,0.2879056824376499,0.23522368346888037,0.34681320233528373,,2
position,flash,c1_pooled,f3,target_margin,,400,,20,-0.17232305877909343,-0.23784339351423459,-0.1184057774187923,,2
position,flash,c1_pooled,f3,target_rank,,400,,20,9.71,7.454812500000001,12.050062500000001,,2
position,flash,c1_pooled,f3,target_hit,,400,,20,0.0975,0.027500000000000004,0.1775,,3
position,flash,c1_pooled,f3,target_kl,,400,,20,0.31172984332813397,0.2539903604334605,0.37871782212230404,,3
position,flash,c1_pooled,f3,target_margin,,400,,20,-0.19161871586909637,-0.26340025069227563,-0.1291671268270692,,3
position,flash,c1_pooled,f3,target_rank,,400,,20,10.0075,7.869812499999999,12.4076875,,3
position,flash,c1_pooled,f3,target_hit,,400,,20,0.09,0.032499999999999994,0.1675,,4
position,flash,c1_pooled,f3,target_kl,,400,,20,0.3086492240075258,0.25132982470472864,0.3728135316000534,,4
position,flash,c1_pooled,f3,target_margin,,400,,20,-0.18981193968429114,-0.26301254400818114,-0.12748375594095948,,4
