row_type,model,arm,feature,metric,first_window,n_runs,alternative,n_authors,estimate,ci_low,ci_high,wilcoxon_p,window_index
delta,pro,c2,f1,target_rank,1,200,greater,20,0.8,-0.024999999999999967,1.595,0.015874201599734346,
delta,pro,c2,f1,target_hit,1,200,less,20,-0.075,-0.14500000000000002,-0.015000000000000003,0.016170007243128042,
delta,pro,c2,f3,target_kl,1,200,greater,20,0.009796463872760838,-0.006916801953815164,0.0239722323427405,0.02422046661376953,
delta,pro,c2,f3,target_margin,1,200,less,20,-0.01799543248640838,-0.03465077912414071,0.003629097330276413,0.0015764236450195312,
delta,pro,c2,f3,target_rank,1,200,greater,20,0.7899999999999999,-0.19000000000000003,1.7049999999999996,0.022495279754906925,
delta,pro,c2,f3,target_hit,1,200,less,20,-0.06000000000000001,-0.14999999999999997,0.015000000000000003,0.11045435918220253,
delta,pro,c1_pooled,f1,target_kl,1,200,greater,20,0.08240433639033802,0.061228481037815335,0.10282749734921365,4.76837158203125e-06,
delta,pro,c1_pooled,f1,target_margin,1,200,less,20,-0.04668344676401378,-0.0659654363167026,-0.02491211802866753,0.00024127960205078125,
delta,pro,c1_pooled,f1,target_rank,1,200,greater,20,2.165,0.5848750000000001,3.6300000000000003,0.002695110237495812,
delta,pro,c1_pooled,f1,target_hit,1,200,less,20,-0.03499999999999999,-0.135,0.06,0.26354462843276905,
delta,pro,c1_pooled,f3,target_kl,1,200,greater,20,0.16811810631657453,0.1249445191316316,0.21291510688403575,1.9073486328125e-06,
delta,pro,c1_pooled,f3,target_margin,1,200,less,20,-0.1163018373422026,-0.15937257796418974,-0.0730228804370482,5.245208740234375e-05,
delta,pro,c1_pooled,f3,target_rank,1,200,greater,20,2.4200000000000004,0.7896250000000007,3.995249999999998,0.003207683341250075,
delta,pro,c1_pooled,f3,target_hit,1,200,less,20,-0.07500000000000001,-0.18,0.004999999999999999,0.06341282918854552,
delta,human,human_start,f1,target_kl,1,55,two-sided,19,0.003683404922531276,-0.007370462306702075,0.016070078550331296,0.9529838562011719,
delta,human,human_start,f1,target_margin,1,55,two-sided,19,-0.004119269841411775,-0.01896719957230146,0.009375718261260891,0.7380905151367188,
delta,human,human_start,f1,target_rank,1,55,two-sided,19,0.21052631578947373,-0.47368421052631576,0.8947368421052632,0.4409188021019047,
delta,human,human_start,f1,target_hit,1,55,two-sided,19,0.017543859649122803,-0.15789473684210528,0.19298245614035084,0.7124222498786669,
delta,human,human_start,f3,target_kl,1,55,two-sided,19,0.011794209966340891,-0.010972392049458492,0.03840072185455505,0.5677604675292969,
delta,human,human_start,f3,target_margin,1,55,two-sided,19,-0.010913948967024698,-0.036466573045036504,0.011665272866508532,0.8287849426269531,
delta,human,human_start,f3,target_rank,1,55,two-sided,19,0.08771929824561399,-0.5442982456140344,0.6842105263157894,0.7528154986303973,
delta,human,human_start,f3,target_hit,1,55,two-sided,19,-0.017543859649122806,-0.15789473684210523,0.12280701754385963,0.8127423725657857,
