model,arm,window_index,quantity,n_authors,estimate,ci_low,ci_high
pro,old,5,"share_""",20,0.12599,0.11322112499999999,0.13805087499999996
pro,c2,5,"share_""",20,0.185455,0.15331474999999997,0.21083524999999997
pro,c1_pooled,5,"share_""",20,0.12599,0.112858625,0.13746049999999996
pro,old,5,"share_,",20,0.36117499999999997,0.350104375,0.37185050000000003
pro,c2,5,"share_,",20,0.397915,0.368713375,0.42831275
pro,c1_pooled,5,"share_,",20,0.36117499999999997,0.3509745,0.37229025000000004
pro,old,5,share_.,20,0.494065,0.48188899999999985,0.5064022499999999
pro,c2,5,share_.,20,0.36187500000000006,0.3452300000000001,0.377461125
pro,c1_pooled,5,share_.,20,0.494065,0.4818587499999999,0.5061060000000001
pro,old,5,share_;,20,0.0008,0.000565,0.001065
pro,c2,5,share_;,20,0.010215,0.006669875,0.014170749999999998
pro,c1_pooled,5,share_;,20,0.0008,0.00056,0.0010501249999999994
pro,old,5,share_!,20,0.0026850000000000003,0.0017348749999999997,0.0038150000000000002
pro,c2,5,share_!,20,0.01992,0.01334875,0.027410250000000004
pro,c1_pooled,5,share_!,20,0.0026850000000000003,0.0017399999999999998,0.0038400000000000005
pro,old,5,share_?,20,0.01381,0.012680000000000002,0.015035000000000001
pro,c2,5,share_?,20,0.02224,0.020164875,0.024395
pro,c1_pooled,5,share_?,20,0.01381,0.012709874999999999,0.014915125000000001
pro,old,5,share_:,20,0.001435,0.001115,0.001805
pro,c2,5,share_:,20,0.0023050000000000006,0.0014750000000000002,0.003275
pro,c1_pooled,5,share_:,20,0.001435,0.001115,0.00177
pro,old,5,nearest_herbert_george_wells,20,0.425,0.33999999999999997,0.51
pro,c2,5,nearest_herbert_george_wells,20,0.32999999999999996,0.23000000000000004,0.43500000000000005
pro,c1_pooled,5,nearest_herbert_george_wells,20,0.425,0.33999999999999997,0.51
pro,old,5,target_hit,20,0.039999999999999994,0.005,0.085
pro,c2,5,target_hit,20,0.13000000000000003,0.045,0.24
