contrast,family,model,feature,metric,quantity,left_arm,right_arm,n_left_runs,n_right_runs,left_mean,right_mean,alternative,n_authors,mean_difference,ci_low,ci_high,wilcoxon_p,benjamini_hochberg_p
c2_minus_c1_pooled_window1,window1_check,flash,f3,target_margin,window_1_level,c2,c1_pooled,400,400,-0.12097337564638647,-0.12025583541311424,two-sided,20,-0.0007175402332722299,-0.02203090418027057,0.022957398712198016,0.6215133666992188,
c2_minus_c1_pooled_window1,window1_check,flash,f3,target_rank,window_1_level,c2,c1_pooled,400,400,8.235,8.7775,two-sided,20,-0.5424999999999998,-1.7428749999999997,0.4676249999999994,0.601181013818558,
c2_minus_c1_pooled_window1,window1_check,flash,f3,target_hit,window_1_level,c2,c1_pooled,400,400,0.13000000000000003,0.12500000000000003,two-sided,20,0.005000000000000003,-0.045000000000000005,0.07,0.9523030898373113,
c2_minus_c1_pooled_window1,window1_check,pro,f1,target_kl,window_1_level,c2,c1_pooled,200,200,0.06247231763137397,0.0845966772863617,two-sided,20,-0.02212435965498773,-0.03311405223918494,-0.010065898060482165,0.0005855560302734375,
c2_minus_c1_pooled_window1,window1_check,pro,f1,target_margin,window_1_level,c2,c1_pooled,200,200,-0.037164460698051446,-0.05930893840844448,two-sided,20,0.02214447771039303,0.010459844617955153,0.0348208264822471,0.0007076263427734375,
c2_minus_c1_pooled_window1,window1_check,pro,f1,target_rank,window_1_level,c2,c1_pooled,200,200,6.575,8.58,two-sided,20,-2.005,-2.995,-1.0248750000000004,0.003583077687836991,
c2_minus_c1_pooled_window1,window1_check,pro,f1,target_hit,window_1_level,c2,c1_pooled,200,200,0.18000000000000002,0.09500000000000001,two-sided,20,0.085,0.005,0.18,0.05867619965239266,
c2_minus_c1_pooled_window1,window1_check,pro,f3,target_kl,window_1_level,c2,c1_pooled,200,200,0.13860463005729684,0.18130320429494967,two-sided,20,-0.04269857423765282,-0.06544901344236674,-0.020456121943596507,0.0010166168212890625,
c2_minus_c1_pooled_window1,window1_check,pro,f3,target_margin,window_1_level,c2,c1_pooled,200,200,-0.063602474988376,-0.1121753365993597,two-sided,20,0.04857286161098368,0.024141126773031478,0.07522644934204825,0.0004825592041015625,
c2_minus_c1_pooled_window1,window1_check,pro,f3,target_rank,window_1_level,c2,c1_pooled,200,200,6.1049999999999995,8.530000000000001,two-sided,20,-2.425,-3.5553749999999997,-1.235,0.002492835955186284,
c2_minus_c1_pooled_window1,window1_check,pro,f3,target_hit,window_1_level,c2,c1_pooled,200,200,0.19,0.11500000000000002,two-sided,20,0.075,0.005000000000000003,0.155,0.06460564001836622,
