row_type,condition,author_set,feature,window_size,window_index,n_runs,n_authors,mean_target_kl,median_target_kl,mean_target_margin,mean_target_rank,target_hit_rate,prediction_entropy_normalized,most_predicted_author,most_predicted_share,cross_target_mean_sym_kl,n_cross_target_pairs,first_window,last_window,mean_delta_target_kl,mean_delta_target_margin,mean_delta_target_rank,target_hit_change_percentage_points,mean_per_window_slope_target_kl,mean_per_window_slope_target_margin,prediction_entropy_change,cross_target_sym_kl_change_pct,first_most_predicted_author,first_most_predicted_share,last_most_predicted_author,last_most_predicted_share,author_wilcoxon_p_target_kl_increase,author_wilcoxon_p_target_margin_decrease,author_wilcoxon_p_target_rank_worsen,author_wilcoxon_p_target_hit_decrease
position,flash,margin_gt_1,f3,1000,5,260,13,0.37727351143644405,0.31210969398149896,-0.19385664427114152,6.726923076923077,0.13076923076923078,0.5762393880327747,mark_twain,0.3,0.17975234611202823,31200,,,,,,,,,,,,,,,,,,
first_vs_last,flash,margin_gt_1,f3,1000,,260,13,,,,,,,,,,,1,5,0.13223966228462608,-0.07927775976954038,1.023076923076923,0.38461538461538464,0.029207625939267397,-0.017898590916717538,0.0133719888348105,19.312908199137425,arthur_conan_doyle,0.4115384615384615,mark_twain,0.3,0.0006103515625,0.0040283203125,0.0299072265625,0.5234375
position,pro,margin_gt_1,f1,1000,1,130,13,0.07616934801877032,0.06925598338272285,-0.04341864833322835,5.7153846153846155,0.17692307692307693,0.5758101700601932,arthur_conan_doyle,0.47692307692307695,0.0481269598295025,7800,,,,,,,,,,,,,,,,,,
position,pro,margin_gt_1,f1,1000,2,130,13,0.1381170841471988,0.13259247053549286,-0.07493395112485934,6.976923076923077,0.1076923076923077,0.5147987171094773,harold_l_goodwin,0.5,0.04375429432511231,7800,,,,,,,,,,,,,,,,,,
position,pro,margin_gt_1,f1,1000,3,130,13,0.157460662055628,0.13666603422287663,-0.0862747717187041,7.415384615384616,0.07692307692307693,0.4883939228430034,harold_l_goodwin,0.5384615384615384,0.0439728272820329,7800,,,,,,,,,,,,,,,,,,
position,pro,margin_gt_1,f1,1000,4,130,13,0.15138733289870826,0.14636805225515082,-0.08287156190550607,7.015384615384615,0.11538461538461539,0.4295780887139749,harold_l_goodwin,0.5384615384615384,0.03842631680562089,7800,,,,,,,,,,,,,,,,,,
position,pro,margin_gt_1,f1,1000,5,130,13,0.1682266110498537,0.15594720831743897,-0.08877282882108739,7.323076923076923,0.06923076923076923,0.43824229574172713,harold_l_goodwin,0.46923076923076923,0.04721979686900318,7800,,,,,,,,,,,,,,,,,,
first_vs_last,pro,margin_gt_1,f1,1000,,130,13,,,,,,,,,,,1,5,0.09205726303108339,-0.045354180487859025,1.6076923076923078,-10.76923076923077,0.019738477481367613,-0.009864597175636479,-0.13756787431846607,-1.8849371822219463,arthur_conan_doyle,0.47692307692307695,harold_l_goodwin,0.46923076923076923,0.0001220703125,0.0006103515625,0.005126953125,0.125
position,pro,margin_gt_1,f3,1000,1,130,13,0.17380407715492613,0.16010785877897868,-0.08547255447493504,5.630769230769231,0.16153846153846155,0.6062715779138665,arthur_conan_doyle,0.43846153846153846,0.10427545478065213,7800,,,,,,,,,,,,,,,,,,
position,pro,margin_gt_1,f3,1000,2,130,13,0.28213034321928315,0.2523759375157788,-0.15705881156154156,7.0,0.06923076923076923,0.5591353089627789,harold_l_goodwin,0.47692307692307695,0.09185315961322568,7800,,,,,,,,,,,,,,,,,,
position,pro,margin_gt_1,f3,1000,3,130,13,0.32744430219057996,0.27753187346281505,-0.18781745090647756,7.2846153846153845,0.07692307692307693,0.5694067256093768,harold_l_goodwin,0.4307692307692308,0.10015618859156326,7800,,,,,,,,,,,,,,,,,,
position,pro,margin_gt_1,f3,1000,4,130,13,0.3218790962768115,0.28817907961625844,-0.18368155703112996,6.915384615384616,0.11538461538461539,0.4670608188164279,luis_senarens,0.4461538461538462,0.08447498514376127,7800,,,,,,,,,,,,,,,,,,
position,pro,margin_gt_1,f3,1000,5,130,13,0.35715771173857785,0.32938331852678504,-0.20382384419545582,7.315384615384615,0.05384615384615385,0.49337088599181883,luis_senarens,0.4846153846153846,0.10354205184916503,7800,,,,,,,,,,,,,,,,,,
first_vs_last,pro,margin_gt_1,f3,1000,,130,13,,,,,,,,,,,1,5,0.1833536345836517,-0.11835128972052078,1.6846153846153846,-10.76923076923077,0.04064560222248319,-0.02633253249106299,-0.11290069192204771,-0.7033322779841589,arthur_conan_doyle,0.43846153846153846,luis_senarens,0.4846153846153846,0.0001220703125,0.0003662109375,0.00634765625,0.1875
