condition,feature,chunk_size,smoothing_eps,fold,n_calibration_authors,n_test_authors,n_calibration_human,n_test_human,n_test_llm,threshold,empirical_fpr,tpr,auc
flash,f1,4000,0.5,1,16,4,194,31,80,661.3376725078452,0.0,0.8625,0.992741935483871
flash,f1,4000,0.5,2,16,4,183,42,80,679.7498181589751,0.0,0.7125,0.9866071428571429
flash,f1,4000,0.5,3,16,4,164,61,80,613.8892961900433,0.06557377049180328,0.875,0.965983606557377
flash,f1,4000,0.5,4,16,4,169,56,80,529.5347604565413,0.14285714285714285,1.0,0.9924107142857143
pro,f1,4000,0.5,0,16,4,190,35,40,637.7588650182204,0.05714285714285714,0.525,0.9014285714285715
pro,f1,4000,0.5,1,16,4,194,31,40,661.3376725078452,0.0,0.125,0.7467741935483871
pro,f1,4000,0.5,2,16,4,183,42,40,679.7498181589751,0.0,0.375,0.8351190476190476
pro,f1,4000,0.5,3,16,4,164,61,40,613.8892961900433,0.06557377049180328,0.775,0.9168032786885246
pro,f1,4000,0.5,4,16,4,169,56,40,529.5347604565413,0.14285714285714285,0.5,0.7825892857142858
flash,f3,1000,0.5,0,16,4,846,157,80,298.80580557981006,0.06369426751592357,0.4125,0.8732484076433121
flash,f3,1000,0.5,1,16,4,855,148,80,318.1576567375748,0.02702702702702703,0.4625,0.9335304054054054
flash,f3,1000,0.5,2,16,4,820,183,80,324.7222817120872,0.00546448087431694,0.475,0.9558060109289618
flash,f3,1000,0.5,3,16,4,737,266,80,291.5222191682427,0.07894736842105263,0.725,0.9428101503759398
flash,f3,1000,0.5,4,16,4,754,249,80,300.46106743085437,0.05622489959839357,0.8375,0.9554216867469879
pro,f3,1000,0.5,0,16,4,846,157,40,298.80580557981006,0.06369426751592357,0.4,0.8296178343949044
pro,f3,1000,0.5,1,16,4,855,148,40,318.1576567375748,0.02702702702702703,0.0,0.6577702702702702
pro,f3,1000,0.5,2,16,4,820,183,40,324.7222817120872,0.00546448087431694,0.275,0.7836065573770492
pro,f3,1000,0.5,3,16,4,737,266,40,291.5222191682427,0.07894736842105263,0.3,0.881203007518797
pro,f3,1000,0.5,4,16,4,754,249,40,300.46106743085437,0.05622489959839357,0.0,0.6617469879518072
flash,f3,2000,0.5,0,16,4,409,76,80,441.8837615060074,0.09210526315789473,0.65,0.9335526315789474
flash,f3,2000,0.5,1,16,4,414,71,80,483.8554732139631,0.014084507042253521,0.725,0.9772887323943662
flash,f3,2000,0.5,2,16,4,397,88,80,490.58141011645677,0.0,0.7625,0.9873579545454545
flash,f3,2000,0.5,3,16,4,357,128,80,448.9392291876774,0.0625,0.95,0.95419921875
flash,f3,2000,0.5,4,16,4,363,122,80,439.09349201689486,0.08196721311475409,0.9875,0.9860655737704918
pro,f3,2000,0.5,0,16,4,409,76,40,441.8837615060074,0.09210526315789473,0.475,0.8628289473684211
pro,f3,2000,0.5,1,16,4,414,71,40,483.8554732139631,0.014084507042253521,0.175,0.7422535211267606
pro,f3,2000,0.5,2,16,4,397,88,40,490.58141011645677,0.0,0.35,0.8548295454545455
pro,f3,2000,0.5,3,16,4,357,128,40,448.9392291876774,0.0625,0.6,0.907421875
pro,f3,2000,0.5,4,16,4,363,122,40,439.09349201689486,0.08196721311475409,0.25,0.7547131147540984
flash,f3,4000,0.5,0,16,4,190,35,80,759.4509158613005,0.08571428571428572,0.8375,0.9696428571428571
flash,f3,4000,0.5,1,16,4,194,31,80,794.2826650372789,0.03225806451612903,0.9375,0.9975806451612903
flash,f3,4000,0.5,2,16,4,183,42,80,815.3735368261822,0.0,0.775,0.9985119047619048
flash,f3,4000,0.5,3,16,4,164,61,80,765.7376133437141,0.06557377049180328,1.0,0.9618852459016394
flash,f3,4000,0.5,4,16,4,169,56,80,692.1509538070003,0.14285714285714285,1.0,0.9973214285714286
