phase,model,reference,dwell_scale,contrast,feature,n_chunk_sizes,fixed_intercept_rho,implied_delta
sweep,two_state_hsmm,estimated,1.5,0.75,f3,3,-8.480229080856581e-06,-0.00038161030863854614
sweep,two_state_hsmm,estimated,1.5,1.0,f1,3,0.0007902383350551664,0.003556072507748249
sweep,two_state_hsmm,estimated,1.5,1.0,f3,3,-2.474312431082077e-06,-0.00011134405939869347
sweep,two_state_hsmm,estimated,1.5,1.25,f1,3,0.000858047970437156,0.003861215866967202
sweep,two_state_hsmm,estimated,1.5,1.25,f3,3,3.5868117770304317e-06,0.00016140652996636943
sweep,two_state_hsmm,estimated,1.5,1.5,f1,3,0.001013179706015578,0.004559308677070101
sweep,two_state_hsmm,estimated,1.5,1.5,f3,3,1.4812059762923993e-05,0.0006665426893315797
sweep,two_state_hsmm,estimated,1.5,2.0,f1,3,0.001311877723611566,0.005903449756252047
sweep,two_state_hsmm,estimated,1.5,2.0,f3,3,3.561613147293393e-05,0.001602725916282027
sweep,two_state_hsmm,estimated,2.0,0.0,f1,3,6.567963198689915e-05,0.0002955583439410462
sweep,two_state_hsmm,estimated,2.0,0.0,f3,3,-6.683815258341812e-05,-0.0030077168662538153
sweep,two_state_hsmm,estimated,2.0,0.25,f1,3,0.00030341202374962475,0.0013653541068733115
sweep,two_state_hsmm,estimated,2.0,0.25,f3,3,-4.698463354689491e-05,-0.0021143085096102707
sweep,two_state_hsmm,estimated,2.0,0.5,f1,3,0.0005822157611682106,0.0026199709252569476
sweep,two_state_hsmm,estimated,2.0,0.5,f3,3,-1.9734478643332283e-05,-0.0008880515389499528
sweep,two_state_hsmm,estimated,2.0,0.75,f1,3,0.0008402106443288872,0.0037809478994799924
sweep,two_state_hsmm,estimated,2.0,0.75,f3,3,6.128681399853711e-06,0.000275790662993417
sweep,two_state_hsmm,estimated,2.0,1.0,f1,3,0.0010937331581307211,0.004921799211588245
sweep,two_state_hsmm,estimated,2.0,1.0,f3,3,2.3648588500552907e-05,0.001064186482524881
sweep,two_state_hsmm,estimated,2.0,1.25,f1,3,0.0011111479291891994,0.005000165681351397
sweep,two_state_hsmm,estimated,2.0,1.25,f3,3,2.5591777234775993e-05,0.0011516299755649196
sweep,two_state_hsmm,estimated,2.0,1.5,f1,3,0.0012861154703405267,0.00578751961653237
sweep,two_state_hsmm,estimated,2.0,1.5,f3,3,3.482067125804114e-05,0.0015669302066118511
sweep,two_state_hsmm,estimated,2.0,2.0,f1,3,0.0016877371755502975,0.007594817289976339
sweep,two_state_hsmm,estimated,2.0,2.0,f3,3,5.5419122696822773e-05,0.002493860521357025
sweep,two_state_hsmm,estimated,3.0,0.0,f1,3,6.043225250548183e-05,0.00027194513627466825
sweep,two_state_hsmm,estimated,3.0,0.0,f3,3,-6.546502061990696e-05,-0.002945925927895813
sweep,two_state_hsmm,estimated,3.0,0.25,f1,3,0.0003404629805031398,0.0015320834122641291
sweep,two_state_hsmm,estimated,3.0,0.25,f3,3,-3.80874211605413e-05,-0.0017139339522243586
sweep,two_state_hsmm,estimated,3.0,0.5,f1,3,0.0007686348789877939,0.0034588569554450726
sweep,two_state_hsmm,estimated,3.0,0.5,f3,3,-3.7442946012528805e-06,-0.00016849325705637963
sweep,two_state_hsmm,estimated,3.0,0.75,f1,3,0.0011071545779908882,0.004982195600958997
sweep,two_state_hsmm,estimated,3.0,0.75,f3,3,3.165476425679291e-05,0.0014244643915556807
sweep,two_state_hsmm,estimated,3.0,1.0,f1,3,0.001615715417609847,0.0072707193792443114
sweep,two_state_hsmm,estimated,3.0,1.0,f3,3,6.20924814073522e-05,0.002794161663330849
sweep,two_state_hsmm,estimated,3.0,1.25,f1,3,0.0018892336685465748,0.008501551508459586
sweep,two_state_hsmm,estimated,3.0,1.25,f3,3,8.199446850600733e-05,0.00368975108277033
sweep,two_state_hsmm,estimated,3.0,1.5,f1,3,0.002112308980170067,0.009505390410765301
sweep,two_state_hsmm,estimated,3.0,1.5,f3,3,8.741011327432097e-05,0.003933455097344444
sweep,two_state_hsmm,estimated,3.0,2.0,f1,3,0.002391443707800191,0.010761496685100859
sweep,two_state_hsmm,estimated,3.0,2.0,f3,3,0.00010227698928639356,0.004602464517887711
sweep,two_state_hsmm,estimated,4.0,0.0,f1,3,5.6460323023137574e-05,0.0002540714536041191
