phase,model,reference,dwell_scale,contrast,chunk_size,feature,n_observations,mean_g,uncertainty_method,cluster_unit,se_mean_g,mean_g_ci_low,mean_g_ci_high,phi_ci_low,phi_ci_high,g_q025,g_q975,degrees_of_freedom,phi,rho_at_n,implied_delta_at_n,mean_raw_delta,mean_excess_delta,excess_delta_cv,excess_delta_skew,raw_delta_gamma_shape,raw_delta_gamma_scale,raw_delta_gamma_ks_d
sweep,two_state_hsmm,estimated,0.25,0.25,4000,f3,250,80.86984700522788,monte_carlo_standard_error,independent_simulation_replicate,0.9050983383991448,79.09585426196556,82.64383974849021,0.8788428251329506,0.9182648860943357,53.4824151128332,112.94913299849328,90,0.8985538556136431,-2.5361536096589226e-05,-0.0011412691243465147,0.010111258690326069,-0.0011412691243465147,nan,0.5912544917253811,,,
sweep,two_state_hsmm,estimated,0.25,0.5,1000,f1,250,11.21059745356092,monte_carlo_standard_error,independent_simulation_replicate,0.36065826620273317,10.503707251803563,11.917487655318277,1.1670785835337292,1.3241652950353642,3.456017791008177,22.878542211713956,9,1.2456219392845467,0.0002456219392845467,0.0011052987267804603,0.0056052987267804595,0.0011052987267804596,2.579622934810673,2.0498376145239714,,,
sweep,two_state_hsmm,estimated,0.25,0.5,1000,f3,250,59.898987269797104,monte_carlo_standard_error,independent_simulation_replicate,0.7066084855788269,58.514034638062604,61.2839399015316,0.6501559404229178,0.6809326655725734,41.65504695016524,84.28055550781393,90,0.6655443029977456,-0.0003344556970022544,-0.015050506365101447,0.029979473108006558,-0.015050506365101447,nan,0.5439427173473226,,,
sweep,two_state_hsmm,estimated,0.25,0.5,2000,f1,250,12.174332458146392,monte_carlo_standard_error,independent_simulation_replicate,0.43492829567386226,11.321872998625622,13.026791917667161,1.2579858887361803,1.44742132418524,3.1683708970910973,30.51885231611795,9,1.35270360646071,0.00017635180323035505,0.0007935831145365979,0.003043583114536597,0.0007935831145365975,2.166383092065423,1.293821103007123,,,
sweep,two_state_hsmm,estimated,0.25,0.5,2000,f3,250,70.79381205693106,monte_carlo_standard_error,independent_simulation_replicate,0.785068593760375,69.25507761316072,72.3325465007014,0.7695008623684525,0.8036949611189044,47.53970496214376,98.34670430144584,90,0.7865979117436784,-0.00010670104412816078,-0.004801546985767235,0.017707306667566546,-0.004801546985767239,nan,0.33137305497228225,,,
sweep,two_state_hsmm,estimated,0.25,0.5,4000,f1,250,12.401734888843096,monte_carlo_standard_error,independent_simulation_replicate,0.4209163770243503,11.57673878987537,13.226730987810823,1.2863043099861522,1.4696367764234248,3.840460122622491,30.867248605259675,9,1.3779705432047884,9.44926358011971e-05,0.00042521686110538704,0.0015502168611053872,0.00042521686110538715,1.9564347301558747,1.17065242919875,,,
sweep,two_state_hsmm,estimated,0.25,0.5,4000,f3,250,83.61901439994197,monte_carlo_standard_error,independent_simulation_replicate,0.9278138616423286,81.80049923112301,85.43752956876094,0.9088944359013668,0.9493058840973437,57.709610668571635,113.98513892042648,90,0.9291001599993552,-1.7724960000161188e-05,-0.0007976232000072532,0.010454990547629656,-0.0007976232000072517,nan,0.42819224856387716,,,
sweep,two_state_hsmm,estimated,0.25,0.75,1000,f1,250,12.874817165022634,monte_carlo_standard_error,independent_simulation_replicate,0.44474365414956407,12.003119602889488,13.74651472715578,1.3336799558766097,1.5273905252395312,4.43898157118997,29.543011837845345,9,1.4305352405580705,0.0004305352405580705,0.001937408582511317,0.006437408582511317,0.0019374085825113166,1.8147990758302055,1.9976132111091487,,,
sweep,two_state_hsmm,estimated,0.25,0.75,1000,f3,250,63.11385604818429,monte_carlo_standard_error,independent_simulation_replicate,0.7841534037485576,61.576915376837114,64.65079671953146,0.6841879486315234,0.7183421857725717,42.309998903319666,89.19781829205748,90,0.7012650672020476,-0.00029873493279795237,-0.013443071975907855,0.03158851654063277,-0.013443071975907859,nan,0.5113550819770117,,,
sweep,two_state_hsmm,estimated,0.25,0.75,2000,f1,250,13.16092346298174,monte_carlo_standard_error,independent_simulation_replicate,0.42790327500305414,12.322233043975753,13.999613881987727,1.3691370048861948,1.5555126535541919,3.997867644471996,28.24114846153903,9,1.4623248292201934,0.00023116241461009667,0.001040230865745435,0.0032902308657454353,0.001040230865745435,1.6260200161016307,0.9054066386083608,,,
sweep,two_state_hsmm,estimated,0.25,0.75,2000,f3,250,71.44115428833868,monte_carlo_standard_error,independent_simulation_replicate,0.8495940991414574,69.77594985402142,73.10635872265594,0.7752883317113491,0.8122928746961772,49.762675435047484,98.13299616865751,90,0.7937906032037632,-0.00010310469839811842,-0.00463971142791533,0.01786922318367651,-0.0046397114279153285,nan,0.44918730344084173,,,
sweep,two_state_hsmm,estimated,0.25,0.75,4000,f1,250,12.718983045928953,monte_carlo_standard_error,independent_simulation_replicate,0.43045936625950043,11.875282688060333,13.562683403797573,1.3194758542289258,1.5069648226441748,3.804216291884729,27.26040147576984,9,1.4132203384365503,0.00010330508460913757,0.0004648728807411191,0.0015898728807411193,0.0004648728807411193,1.830113260428481,1.8765150882264723,,,
sweep,two_state_hsmm,estimated,0.25,0.75,4000,f3,250,82.22121296526382,monte_carlo_standard_error,independent_simulation_replicate,0.9393206874485939,80.38014441786457,84.06228151266306,0.8931127157540508,0.9340253501407006,57.28890660657762,112.14219695909942,90,0.9135690329473758,-2.160774176315605e-05,-0.0009723483793420229,0.010280221676076996,-0.0009723483793420231,nan,0.30780939386001605,,,
sweep,two_state_hsmm,estimated,0.25,1.0,1000,f1,250,12.375883733959794,monte_carlo_standard_error,independent_simulation_replicate,0.509986855765162,11.376309496660078,13.375457971259511,1.2640343885177865,1.4861619968066124,3.629535335450125,30.109462665859304,9,1.3750981926621995,0.00037509819266219943,0.001687941866979897,0.0061879418669798965,0.0016879418669798966,2.388589430291222,3.463670000377553,,,
