dwell_scale,contrast,simulated_rho,observed_rho,rho_difference,simulated_delta,observed_delta,phi_rmse
0.75,0.25,-5.7895753722497664e-05,0.0006292088575407687,-0.0006871046112632664,-0.002605308917512395,0.02831439858933459,1.8214223364106161
0.75,0.5,-4.492851931324881e-05,0.0006292088575407687,-0.0006741373768540175,-0.0020217833690961964,0.02831439858933459,1.7867134462415766
0.75,0.75,-3.174186704168221e-05,0.0006292088575407687,-0.0006609507245824509,-0.0014283840168756996,0.02831439858933459,1.7514390596276144
0.75,1.0,-2.917536403873934e-05,0.0006292088575407687,-0.000658384221579508,-0.0013128913817432703,0.02831439858933459,1.7439176021939906
0.75,1.25,-1.894500723278028e-05,0.0006292088575407687,-0.0006481538647735489,-0.0008525253254751127,0.02831439858933459,1.717291408813994
0.75,1.5,-1.06325960920529e-05,0.0006292088575407687,-0.0006398414536328216,-0.00047846682414238046,0.02831439858933459,1.6939398850090466
0.75,2.0,-9.054959937863052e-06,0.0006292088575407687,-0.0006382638174786317,-0.00040747319720383735,0.02831439858933459,1.6894782855226396
1.0,0.0,-6.15177477064544e-05,0.0006292088575407687,-0.000690726605247223,-0.002768298646790448,0.02831439858933459,1.8322238977551997
1.0,0.25,-5.578734503723769e-05,0.0006292088575407687,-0.0006849962025780063,-0.0025104305266756962,0.02831439858933459,1.8157920922020456
1.0,0.5,-3.840832509040044e-05,0.0006292088575407687,-0.0006676171826311691,-0.0017283746290680199,0.02831439858933459,1.7690067148819029
1.0,0.75,-2.6561474369527094e-05,0.0006292088575407687,-0.0006557703319102958,-0.0011952663466287192,0.02831439858933459,1.7373174085494905
1.0,1.0,-1.1730517419572026e-05,0.0006292088575407687,-0.0006409393749603406,-0.0005278732838807412,0.02831439858933459,1.6977938282609566
1.0,1.25,-7.238306715753412e-06,0.0006292088575407687,-0.0006364471642565221,-0.0003257238022089035,0.02831439858933459,1.6845777710834415
1.0,1.5,-1.1475472669814378e-07,0.0006292088575407687,-0.0006293236122674669,-5.16396270141647e-06,0.02831439858933459,1.6662120738432273
1.0,2.0,1.6604636614436824e-05,0.0006292088575407687,-0.0006126042209263318,0.0007472086476496571,0.02831439858933459,1.6218096656545384
1.5,0.0,-6.529375688020643e-05,0.0006292088575407687,-0.0006945026144209751,-0.0029382190596092895,0.02831439858933459,1.8418703250959791
1.5,0.25,-4.5358997269374315e-05,0.0006292088575407687,-0.000674567854810143,-0.0020411548771218442,0.02831439858933459,1.7883928639162336
1.5,0.5,-2.6370536738281485e-05,0.0006292088575407687,-0.0006555793942790502,-0.0011866741532226667,0.02831439858933459,1.7363261886435606
1.5,0.75,-8.480229080856581e-06,0.0006292088575407687,-0.0006376890866216252,-0.00038161030863854614,0.02831439858933459,1.6889419830968402
1.5,1.0,-2.474312431082077e-06,0.0006292088575407687,-0.0006316831699718508,-0.00011134405939869347,0.02831439858933459,1.6727294172616844
1.5,1.25,3.5868117770304317e-06,0.0006292088575407687,-0.0006256220457637382,0.00016140652996636943,0.02831439858933459,1.6557589665169667
1.5,1.5,1.4812059762923993e-05,0.0006292088575407687,-0.0006143967977778447,0.0006665426893315797,0.02831439858933459,1.6272411582208643
1.5,2.0,3.561613147293393e-05,0.0006292088575407687,-0.0005935927260678348,0.001602725916282027,0.02831439858933459,1.5704988761202623
2.0,0.0,-6.683815258341812e-05,0.0006292088575407687,-0.0006960470101241868,-0.0030077168662538153,0.02831439858933459,1.8458756353184036
2.0,0.25,-4.698463354689491e-05,0.0006292088575407687,-0.0006761934910876635,-0.0021143085096102707,0.02831439858933459,1.792195458740088
2.0,0.5,-1.9734478643332283e-05,0.0006292088575407687,-0.000648943336184101,-0.0008880515389499528,0.02831439858933459,1.7186850365183264
2.0,0.75,6.128681399853711e-06,0.0006292088575407687,-0.0006230801761409149,0.000275790662993417,0.02831439858933459,1.650007080885638
2.0,1.0,2.3648588500552907e-05,0.0006292088575407687,-0.0006055602690402158,0.001064186482524881,0.02831439858933459,1.6028699233301016
2.0,1.25,2.5591777234775993e-05,0.0006292088575407687,-0.0006036170803059926,0.0011516299755649196,0.02831439858933459,1.5973259988961421
2.0,1.5,3.482067125804114e-05,0.0006292088575407687,-0.0005943881862827276,0.0015669302066118511,0.02831439858933459,1.5730620359751428
2.0,2.0,5.5419122696822773e-05,0.0006292088575407687,-0.0005737897348439459,0.002493860521357025,0.02831439858933459,1.5184374302978527
3.0,0.0,-6.546502061990696e-05,0.0006292088575407687,-0.0006946738781606756,-0.002945925927895813,0.02831439858933459,1.842680465756629
3.0,0.25,-3.80874211605413e-05,0.0006292088575407687,-0.00066729627870131,-0.0017139339522243586,0.02831439858933459,1.7679474073597397
3.0,0.5,-3.7442946012528805e-06,0.0006292088575407687,-0.0006329531521420215,-0.00016849325705637963,0.02831439858933459,1.6755585184561947
3.0,0.75,3.165476425679291e-05,0.0006292088575407687,-0.0005975540932839757,0.0014244643915556807,0.02831439858933459,1.5811327023281962
3.0,1.0,6.20924814073522e-05,0.0006292088575407687,-0.0005671163761334165,0.002794161663330849,0.02831439858933459,1.5006533934901356
3.0,1.25,8.199446850600733e-05,0.0006292088575407687,-0.0005472143890347613,0.00368975108277033,0.02831439858933459,1.4480841140848255
3.0,1.5,8.741011327432097e-05,0.0006292088575407687,-0.0005417987442664478,0.003933455097344444,0.02831439858933459,1.43457813397909
3.0,2.0,0.00010227698928639356,0.0006292088575407687,-0.0005269318682543751,0.004602464517887711,0.02831439858933459,1.3942262880590752
4.0,0.0,-6.414804117119331e-05,0.0006292088575407687,-0.000693356898711962,-0.002886661852703699,0.02831439858933459,1.8386473129548768
4.0,0.25,-2.8094575372842608e-05,0.0006292088575407687,-0.0006573034329136112,-0.0012642558917779173,0.02831439858933459,1.7415942275888001
4.0,0.5,1.7234564803298072e-05,0.0006292088575407687,-0.0006119742927374706,0.0007755554161484133,0.02831439858933459,1.6200937522677592
4.0,0.75,5.3238900747161694e-05,0.0006292088575407687,-0.000575969956793607,0.002395750533622276,0.02831439858933459,1.5239462096636645
4.0,1.0,8.066966882094125e-05,0.0006292088575407687,-0.0005485391887198274,0.0036301350969423565,0.02831439858933459,1.4513151964640878
4.0,1.25,0.00011141377204745317,0.0006292088575407687,-0.0005177950854933155,0.005013619742135393,0.02831439858933459,1.370604467937541
4.0,1.5,0.00012059130422077146,0.0006292088575407687,-0.0005086175533199972,0.0054266086899347156,0.02831439858933459,1.3461760959571623
4.0,2.0,0.00016292840487069777,0.0006292088575407687,-0.00046628045267007093,0.007331778219181399,0.02831439858933459,1.237367547754666
