dwell_scale,seed,fold,author,target_book,chunk_size,chunk_index,replicate,G,excess_delta
64.0,20260918,4,charlotte_bronte,gutenberg_texts/9182.txt,2000,19,60,357.6457723292404,0.0669114430823101
64.0,20260918,0,herbert_george_wells,gutenberg_texts/36.txt,4000,1,60,249.7453114058797,0.01996816392573496
64.0,20260918,1,arthur_conan_doyle,gutenberg_texts/1661.txt,1000,17,61,310.9520907156448,0.11047604535782239
64.0,20260918,2,jane_austen,gutenberg_texts/1342.txt,2000,1,61,239.56999094767016,0.03739249773691754
64.0,20260918,0,joseph_conrad,gutenberg_texts/5658.txt,4000,5,61,105.42138793845363,0.0019276734923067043
64.0,20260918,3,susan_warner,gutenberg_texts/8874.txt,1000,49,62,93.17526714653125,0.0015876335732656272
64.0,20260918,2,jane_austen,gutenberg_texts/1342.txt,2000,4,62,300.78685035475945,0.05269671258868986
64.0,20260918,3,charles_dickens,gutenberg_texts/1400.txt,4000,5,62,80.25538752661657,-0.0012180765591729282
64.0,20260918,4,charlotte_bronte,gutenberg_texts/9182.txt,1000,24,63,402.38570815392967,0.15619285407696484
64.0,20260918,2,mark_twain,gutenberg_texts/74.txt,2000,2,63,60.766517952446925,-0.0073083705118882685
64.0,20260918,1,luis_senarens,gutenberg_texts/55562.txt,4000,1,63,843.4376140737116,0.09417970175921396
64.0,20260918,3,charles_dickens,gutenberg_texts/98.txt,1000,14,64,518.9808565386763,0.21449042826933817
64.0,20260918,0,joseph_conrad,gutenberg_texts/5658.txt,2000,7,64,242.67717489224043,0.038169293723060105
64.0,20260918,1,luis_senarens,gutenberg_texts/55562.txt,4000,1,64,137.47211620574507,0.0059340145257181336
64.0,20260918,0,mildred_wirt,gutenberg_texts/34832.txt,1000,9,65,254.43689831942862,0.08221844915971431
64.0,20260918,3,susan_warner,gutenberg_texts/16918.txt,2000,3,65,111.43014161084584,0.005357535402711459
64.0,20260918,0,kathleen_thompson_norris,gutenberg_texts/3635.txt,4000,1,65,795.1761710223051,0.08814702137778814
64.0,20260918,1,robert_sidney_bowen,gutenberg_texts/32440.txt,1000,6,66,540.120028750608,0.22506001437530399
64.0,20260918,2,mark_twain,gutenberg_texts/86.txt,2000,9,66,94.7245610511304,0.0011811402627825984
64.0,20260918,0,kathleen_thompson_norris,gutenberg_texts/4787.txt,4000,7,66,1587.8735328475843,0.18723419160594804
64.0,20260918,4,mary_shelley,gutenberg_texts/18247.txt,1000,8,67,88.67615773677184,-0.0006619211316140792
64.0,20260918,0,herbert_george_wells,gutenberg_texts/36.txt,2000,2,67,254.2149954010004,0.0410537488502501
64.0,20260918,1,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,4000,1,67,97.65800711245433,0.0009572508890567911
64.0,20260918,4,charlotte_bronte,gutenberg_texts/1260.txt,1000,33,68,221.53936561102898,0.0657696828055145
64.0,20260918,3,charles_dickens,gutenberg_texts/98.txt,2000,8,68,455.99564155642724,0.0914989103891068
64.0,20260918,0,mildred_wirt,gutenberg_texts/34832.txt,4000,2,68,220.0280153114001,0.016253501913925016
64.0,20260918,3,oscar_wilde,gutenberg_texts/773.txt,1000,3,69,181.0117902044566,0.04550589510222829
64.0,20260918,4,charlotte_bronte,gutenberg_texts/30486.txt,2000,4,69,146.7414498176804,0.0141853624544201
64.0,20260918,0,joseph_conrad,gutenberg_texts/5658.txt,4000,4,69,225.36638596560982,0.016920798245701228
64.0,20260918,3,john_c_hutcheson,gutenberg_texts/21108.txt,1000,4,70,66.66460309427879,-0.011667698452860606
64.0,20260918,2,harold_l_goodwin,gutenberg_texts/32059.txt,2000,2,70,282.4911703070802,0.04812279257677005
64.0,20260918,3,john_c_hutcheson,gutenberg_texts/21108.txt,4000,2,70,139.85769330173113,0.006232211662716392
64.0,20260918,0,joseph_conrad,gutenberg_texts/2021.txt,1000,2,71,177.81612444204916,0.04390806222102458
64.0,20260918,3,susan_warner,gutenberg_texts/8874.txt,2000,1,71,151.39399900835704,0.01534849975208926
64.0,20260918,0,herbert_george_wells,gutenberg_texts/35.txt,4000,1,71,221.43564952019852,0.016429456190024814
64.0,20260918,3,susan_warner,gutenberg_texts/29824.txt,1000,1,72,60.253979206531696,-0.014873010396734151
64.0,20260918,4,mary_shelley,gutenberg_texts/18247.txt,2000,9,72,60.66613504233088,-0.0073334662394172806
64.0,20260918,1,agnes_may_fleming,gutenberg_texts/15317.txt,4000,1,72,123.9681279503576,0.0042460159937947
64.0,20260918,0,mildred_wirt,gutenberg_texts/35082.txt,1000,4,73,487.51931400242,0.19875965700121
64.0,20260918,3,oscar_wilde,gutenberg_texts/174.txt,2000,5,73,302.83518915231434,0.053208797288078584
64.0,20260918,1,agnes_may_fleming,gutenberg_texts/15317.txt,4000,1,73,235.78156885791765,0.018222696107239707
64.0,20260918,3,john_c_hutcheson,gutenberg_texts/21108.txt,1000,16,74,580.6232388579634,0.24531161942898172
64.0,20260918,1,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,2000,5,74,444.65833842791284,0.08866458460697821
