dwell_scale,seed,phi_1000,phi_2000,phi_4000,fixed_intercept_rho,growth_ratio,phi_rmse,phi_1000_seed_min,phi_1000_seed_max,phi_2000_seed_min,phi_2000_seed_max,phi_4000_seed_min,phi_4000_seed_max,fixed_intercept_rho_seed_min,fixed_intercept_rho_seed_max
36.0,20260920,1.8361582473751346,2.3942992540096877,3.0947416399062186,0.0005716058721437802,1.2925458815240047,0.3371366727064713,,,,,,,,
40.0,20260918,1.9211830728089545,2.5335930148251458,3.4029275216926282,0.0006476228185347504,1.34312318583949,0.30375912817762935,,,,,,,,
40.0,20260919,2.0561464242538166,2.5347659247146765,3.393492470387034,0.0006523641978681574,1.3387794262576806,0.36930901686183126,,,,,,,,
40.0,20260920,1.901142307360601,2.486992128052134,3.386724237017863,0.0006391439767398249,1.361775213848553,0.28333402187282536,,,,,,,,
48.0,20260918,1.9130231827757775,2.9668417983008473,3.1320726768040568,0.0006369046422187477,1.0556925140389486,0.5378848104837703,,,,,,,,
48.0,20260919,1.9000649861473318,2.5267142555869837,3.488744617616298,0.0006623081889422139,1.3807436317352095,0.2811862398421682,,,,,,,,
48.0,20260920,2.0527634002583923,3.114829063517305,3.448174312480341,0.0007178627989149699,1.1070187937011922,0.5969202225596476,,,,,,,,
64.0,20260918,2.2160434845781487,2.996658032867122,4.476767264304555,0.0009103061241681244,1.4939199652425152,0.7994205711841512,,,,,,,,
64.0,20260919,2.017860579162579,3.0815547230917084,4.020251589596646,0.0008219988754158372,1.3046179447896185,0.62717817662622,,,,,,,,
64.0,20260920,2.0625748702532705,2.99008052366243,4.13545753626394,0.0008373602886968519,1.3830589188275715,0.6330280964295206,,,,,,,,
96.0,20260918,2.4945372278118607,3.7072933968249595,4.058641932114766,0.0009116043690438496,1.0947722496392416,1.0600759595737723,,,,,,,,
96.0,20260919,2.149727845887211,3.542682943002643,5.310841212270548,0.0011180218371892707,1.4991014713185935,1.3146973757653748,,,,,,,,
96.0,20260920,2.1692119176471163,3.4802463881146504,4.334719759569374,0.000927075415816853,1.2455209419576805,0.9268716175601932,,,,,,,,
8.0,mean,1.1163003880273354,1.4569285351455576,1.667491415443554,0.00017619633905203175,1.1445251947632145,1.2019037792884708,1.1125826657728122,1.1201546098327506,1.2898989005425532,1.6052200446490383,1.596028520378483,1.7654668891703986,0.00015542227419261802,0.0002089748349741007
12.0,mean,1.3167377705828232,1.559596168174778,2.0851875365242774,0.00027508001204902327,1.3370047830808713,0.9420667040216716,1.3036268735280834,1.3264905227216408,1.5442989559478024,1.5720562341312767,1.9877788019427953,2.1801471470903477,0.00025695608343621125,0.0002910863511326228
16.0,mean,1.4217343567219387,1.807788734902287,2.3202557124003875,0.00034849212743466964,1.283477249085635,0.7572707145325098,1.3416247417885163,1.5150807202895855,1.6898737727333495,1.9293665640045337,2.203601311943408,2.3908623322601446,0.0003303684620952939,0.000368211652766058
20.0,mean,1.5678554883696474,1.989637899870283,2.4060245952142547,0.00038910617471272536,1.2092776255272975,0.6798732178668319,1.4979495782233974,1.6077656547358603,1.9230606334679992,2.050998329274042,2.3339162355785064,2.457953392742442,0.0003725392378226209,0.00040069423536053363
24.0,mean,1.5824227053078055,2.0425593772918034,2.8722973996583416,0.0004836538599297514,1.4062246765460864,0.4125122317054543,1.47159925211948,1.65598712286987,2.025956770848355,2.061686078581156,2.8094980848372626,2.9292661079534823,0.00047322593548451984,0.0004900891097509193
28.0,mean,1.7183987864773715,2.354100513432302,2.920908085171894,0.0005290586740014072,1.2407745839676068,0.39073650911435387,1.6869166173358656,1.7389051108817493,2.2716034695541403,2.465087590247845,2.803822839263014,3.0759237206514496,0.0005045660452026855,0.0005517050920283728
32.0,mean,1.7408329002408618,2.352505390167371,3.2373622099243473,0.0005902520247749044,1.3761338118311484,0.2352962064819316,1.6505686230639625,1.849040627930981,2.207487967734967,2.4838679159009267,3.1154041494472184,3.392338762840199,0.0005658533061179235,0.0006314276348995377
36.0,mean,1.847928003832726,2.394762352585481,3.1836365683809222,0.0005891428086917798,1.3294164930159944,0.3027243144561111,1.8361582473751346,1.8547407030763918,2.332457659073588,2.457530144673167,3.0947416399062186,3.2447940441313636,0.0005716058721437802,0.0006006400683244629
40.0,mean,1.9594906014744573,2.5184503558639855,3.394381409699175,0.0006463769977142442,1.347805566941458,0.31815070899656694,1.901142307360601,2.0561464242538166,2.486992128052134,2.5347659247146765,3.386724237017863,3.4029275216926282,0.0006391439767398249,0.0006523641978681574
48.0,mean,1.9552838563938337,2.869461705801712,3.3563305356335653,0.0006723585433586437,1.1696725308609144,0.45902517797870357,1.9000649861473318,2.0527634002583923,2.5267142555869837,3.114829063517305,3.1320726768040568,3.488744617616298,0.0006369046422187477,0.0007178627989149699
64.0,mean,2.0988263113313326,3.02276442654042,4.210825463388381,0.0008565550960936046,1.3930379180119263,0.6798620388800588,2.017860579162579,2.2160434845781487,2.99008052366243,3.0815547230917084,4.020251589596646,4.476767264304555,0.0008219988754158372,0.0009103061241681244
96.0,mean,2.271158997115396,3.5767409093140845,4.5680676346515625,0.0009855672073499913,1.2771592213335872,1.062785316258523,2.149727845887211,2.4945372278118607,3.4802463881146504,3.7072933968249595,4.058641932114766,5.310841212270548,0.0009116043690438496,0.0011180218371892707
