condition,label,author,fold,observation_index,score,calibrated_threshold,normalised_score,flagged
flash,human,mary_shelley,4,12,194.05632004494203,439.09349201689486,0.4419476115521097,0
flash,human,mary_shelley,4,13,177.22316117956802,439.09349201689486,0.40361145041236246,0
flash,human,mary_shelley,4,14,305.87264387573725,439.09349201689486,0.6966002672250226,0
flash,human,mary_shelley,4,15,227.59326583953163,439.09349201689486,0.5183252996853221,0
flash,human,mary_shelley,4,16,297.9823768164518,439.09349201689486,0.6786308206202847,0
flash,human,mary_shelley,4,17,285.040869262287,439.09349201689486,0.6491575813456137,0
flash,human,mary_shelley,4,18,350.18018082474595,439.09349201689486,0.7975071076919359,0
flash,human,mary_shelley,4,19,584.0700287271716,439.09349201689486,1.330172364988499,1
flash,human,mary_shelley,4,20,482.64176530069216,439.09349201689486,1.0991776787302547,1
flash,human,charlotte_bronte,4,1,352.22400263657806,439.09349201689486,0.8021617469635046,0
flash,human,charlotte_bronte,4,2,293.8187795843612,439.09349201689486,0.6691485638622402,0
flash,human,charlotte_bronte,4,3,368.0338336872075,439.09349201689486,0.8381673615719333,0
flash,human,charlotte_bronte,4,4,447.7436272430612,439.09349201689486,1.0196999850451747,1
flash,human,charlotte_bronte,4,5,285.8576399937015,439.09349201689486,0.6510177107856171,0
flash,human,charlotte_bronte,4,6,277.87053061082133,439.09349201689486,0.6328277136025733,0
flash,human,charlotte_bronte,4,7,327.2695246315487,439.09349201689486,0.7453299367483143,0
flash,human,charlotte_bronte,4,8,305.6993544918463,439.09349201689486,0.6962056146349899,0
flash,human,charlotte_bronte,4,9,386.09807949206623,439.09349201689486,0.8793072238866397,0
flash,human,charlotte_bronte,4,10,372.36500331657925,439.09349201689486,0.8480312509442792,0
flash,human,charlotte_bronte,4,11,388.5023914215485,439.09349201689486,0.8847828503151676,0
flash,human,charlotte_bronte,4,12,356.088091370997,439.09349201689486,0.8109618972838156,0
flash,human,charlotte_bronte,4,13,396.12420487736387,439.09349201689486,0.9021409154980651,0
flash,human,charlotte_bronte,4,14,323.50116412102943,439.09349201689486,0.7367477997341445,0
flash,human,charlotte_bronte,4,15,234.88724913304148,439.09349201689486,0.5349367581244037,0
flash,human,charlotte_bronte,4,16,209.67364414209842,439.09349201689486,0.4775148071063437,0
flash,human,charlotte_bronte,4,17,438.5126324171822,439.09349201689486,0.99867713912806,0
flash,human,charlotte_bronte,4,18,312.6754196484912,439.09349201689486,0.7120930401684489,0
flash,human,charlotte_bronte,4,19,320.3872666095773,439.09349201689486,0.7296561493952861,0
flash,human,charlotte_bronte,4,20,303.39376716879906,439.09349201689486,0.6909548255320657,0
flash,human,charlotte_bronte,4,21,327.2109205180849,439.09349201689486,0.745196470608348,0
flash,human,charlotte_bronte,4,22,246.63512999479332,439.09349201689486,0.5616916089143577,0
flash,human,charlotte_bronte,4,23,337.89470556261006,439.09349201689486,0.7695279290306789,0
flash,human,charlotte_bronte,4,24,250.86141876487858,439.09349201689486,0.5713166405919454,0
flash,human,charlotte_bronte,4,25,388.93046513366414,439.09349201689486,0.8857577536555686,0
flash,human,charlotte_bronte,4,26,363.89835513270094,439.09349201689486,0.828749142833343,0
flash,human,charlotte_bronte,4,27,431.72602174188603,439.09349201689486,0.9832211808898198,0
flash,human,charlotte_bronte,4,28,384.7148259237706,439.09349201689486,0.8761569754920623,0
flash,human,charlotte_bronte,4,29,408.68793535981183,439.09349201689486,0.9307537979726807,0
flash,human,charlotte_bronte,4,30,515.6914491116333,439.09349201689486,1.1744456670102303,1
flash,human,charlotte_bronte,4,31,362.36584506073007,439.09349201689486,0.8252589747943416,0
flash,human,charlotte_bronte,4,32,339.6616480190586,439.09349201689486,0.7735519979102526,0
flash,human,charlotte_bronte,4,33,426.9211158471999,439.09349201689486,0.972278395396426,0
flash,human,charlotte_bronte,4,34,443.3940966549135,439.09349201689486,1.0097942800706623,1
flash,human,charlotte_bronte,4,35,355.37596765129246,439.09349201689486,0.8093400929695829,0
