method,condition,feature,chunk_size,smoothing_eps,n_authors,n_human,n_llm,target_fpr,empirical_fpr,tpr,auc,empirical_fpr_ci_low,empirical_fpr_ci_high,tpr_ci_low,tpr_ci_high,auc_ci_low,auc_ci_high,threshold
out_of_author_crossfit,pro,f1,4000,0.5,20,225,200,0.05,0.06222222222222222,0.835,0.9566,0.043102417092888964,0.19231099656357387,0.4198750000000002,0.97,0.8951210448738947,0.9883725974340353,
in_sample_calibration_contrast,pro,f1,4000,0.5,20,225,200,0.05,0.05333333333333334,0.83,0.9615555555555556,,,,,,,644.3884740639352
out_of_author_crossfit,flash,f3,1000,0.5,20,1003,400,0.05,0.049850448654037885,0.5275,0.9033250249252244,0.043277213677766165,0.11524670290313055,0.175,0.805,0.8259429585122784,0.9517003739785237,
in_sample_calibration_contrast,flash,f3,1000,0.5,20,1003,400,0.05,0.05084745762711865,0.53,0.9058449651046859,,,,,,,308.04326470657713
out_of_author_crossfit,pro,f3,1000,0.5,20,1003,200,0.05,0.049850448654037885,0.39,0.8524775672981056,0.04283843329253366,0.11466984766658485,0.155,0.6401249999999993,0.7616167553936064,0.9201763584731887,
in_sample_calibration_contrast,pro,f3,1000,0.5,20,1003,200,0.05,0.05084745762711865,0.39,0.8564307078763709,,,,,,,308.04326470657713
out_of_author_crossfit,flash,f3,2000,0.5,20,485,400,0.05,0.05360824742268041,0.755,0.9524123711340207,0.03981202517098504,0.14520289298515082,0.3,0.9575,0.891398414809186,0.9843342906141115,
in_sample_calibration_contrast,flash,f3,2000,0.5,20,485,400,0.05,0.05154639175257732,0.755,0.955360824742268,,,,,,,470.292088245883
out_of_author_crossfit,pro,f3,2000,0.5,20,485,200,0.05,0.05360824742268041,0.715,0.9308865979381443,0.03804251006919344,0.1452491957667023,0.27,0.935,0.8570180659752868,0.9739985126117565,
in_sample_calibration_contrast,pro,f3,2000,0.5,20,485,200,0.05,0.05154639175257732,0.695,0.9354845360824742,,,,,,,470.292088245883
out_of_author_crossfit,flash,f3,4000,0.5,20,225,400,0.05,0.07111111111111111,0.875,0.9702555555555555,0.04148735937032127,0.16440133109330565,0.3925,0.995,0.9181517647932411,0.9945372637457044,
in_sample_calibration_contrast,flash,f3,4000,0.5,20,225,400,0.05,0.05333333333333334,0.8725,0.9737333333333333,,,,,,,783.6107712951841
out_of_author_crossfit,pro,f3,4000,0.5,20,225,200,0.05,0.07111111111111111,0.875,0.9624666666666667,0.04183184543894493,0.1769472494880301,0.44987500000000025,0.99,0.9012545419873795,0.9918975265957446,
in_sample_calibration_contrast,pro,f3,4000,0.5,20,225,200,0.05,0.05333333333333334,0.865,0.9656444444444444,,,,,,,783.6107712951841
out_of_author_crossfit,flash,f3,2000,0.1,20,485,400,0.05,0.05360824742268041,0.7425,0.9511597938144329,0.0395010395010395,0.12776721850410808,0.2975,0.9500624999999996,0.8929781987863824,0.9837252395676753,
in_sample_calibration_contrast,flash,f3,2000,0.1,20,485,400,0.05,0.05154639175257732,0.755,0.9542525773195877,,,,,,,469.80359780342235
out_of_author_crossfit,pro,f3,2000,0.1,20,485,200,0.05,0.05360824742268041,0.71,0.9285876288659793,0.03980976877409988,0.13645207812207177,0.27987500000000026,0.9251249999999993,0.8560713907752007,0.9735934983439949,
in_sample_calibration_contrast,pro,f3,2000,0.1,20,485,200,0.05,0.05154639175257732,0.69,0.9337113402061855,,,,,,,469.80359780342235
out_of_author_crossfit,flash,f3,2000,1.0,20,485,400,0.05,0.05360824742268041,0.76,0.9530206185567011,0.03937876464920235,0.14427510894902196,0.3149375000000001,0.9675,0.8972882004560383,0.9869733366853429,
in_sample_calibration_contrast,flash,f3,2000,1.0,20,485,400,0.05,0.05154639175257732,0.7525,0.9560721649484536,,,,,,,473.1816814740071
out_of_author_crossfit,pro,f3,2000,1.0,20,485,200,0.05,0.05360824742268041,0.73,0.9319896907216495,0.03991117808105098,0.15267493157487497,0.2848750000000002,0.935,0.8504447101449275,0.9766364707785058,
in_sample_calibration_contrast,pro,f3,2000,1.0,20,485,200,0.05,0.05154639175257732,0.685,0.9365979381443299,,,,,,,473.1816814740071
