condition,feature,chunk_size,smoothing_eps,fold,n_calibration_authors,n_test_authors,n_calibration_human,n_test_human,n_test_llm,threshold,empirical_fpr,tpr,auc
pro,f3,2000,0.5,4,16,4,363,122,40,439.09349201689486,0.08196721311475409,0.825,0.9577868852459016
flash,f3,4000,0.5,0,16,4,190,35,80,759.4509158613005,0.08571428571428572,0.75,0.9632142857142857
flash,f3,4000,0.5,1,16,4,194,31,80,794.2826650372789,0.03225806451612903,0.7125,0.9665322580645161
flash,f3,4000,0.5,2,16,4,183,42,80,815.3735368261822,0.0,0.9625,0.999702380952381
flash,f3,4000,0.5,3,16,4,164,61,80,765.7376133437141,0.06557377049180328,0.95,0.9635245901639344
flash,f3,4000,0.5,4,16,4,169,56,80,692.1509538070003,0.14285714285714285,1.0,0.9977678571428571
pro,f3,4000,0.5,0,16,4,190,35,40,759.4509158613005,0.08571428571428572,0.875,0.9764285714285714
pro,f3,4000,0.5,1,16,4,194,31,40,794.2826650372789,0.03225806451612903,0.75,0.9508064516129032
pro,f3,4000,0.5,2,16,4,183,42,40,815.3735368261822,0.0,0.75,0.9755952380952381
pro,f3,4000,0.5,3,16,4,164,61,40,765.7376133437141,0.06557377049180328,1.0,0.9729508196721312
pro,f3,4000,0.5,4,16,4,169,56,40,692.1509538070003,0.14285714285714285,1.0,0.9883928571428572
flash,f3,2000,0.1,0,16,4,409,76,80,443.3357506254126,0.09210526315789473,0.575,0.9245065789473684
flash,f3,2000,0.1,1,16,4,414,71,80,490.1950400736322,0.014084507042253521,0.5125,0.9272887323943662
flash,f3,2000,0.1,2,16,4,397,88,80,500.2957654360086,0.0,0.7875,0.9944602272727273
flash,f3,2000,0.1,3,16,4,357,128,80,451.5427758750706,0.0625,0.8625,0.94990234375
flash,f3,2000,0.1,4,16,4,363,122,80,442.3830012183111,0.08196721311475409,0.975,0.9876024590163934
pro,f3,2000,0.1,0,16,4,409,76,40,443.3357506254126,0.09210526315789473,0.775,0.9358552631578947
pro,f3,2000,0.1,1,16,4,414,71,40,490.1950400736322,0.014084507042253521,0.325,0.8827464788732394
pro,f3,2000,0.1,2,16,4,397,88,40,500.2957654360086,0.0,0.7,0.9130681818181818
pro,f3,2000,0.1,3,16,4,357,128,40,451.5427758750706,0.0625,0.925,0.956640625
pro,f3,2000,0.1,4,16,4,363,122,40,442.3830012183111,0.08196721311475409,0.825,0.9567622950819672
flash,f3,2000,1.0,0,16,4,409,76,80,441.31720308915794,0.09210526315789473,0.5875,0.9266447368421052
flash,f3,2000,1.0,1,16,4,414,71,80,480.3156925314006,0.014084507042253521,0.525,0.9345070422535211
flash,f3,2000,1.0,2,16,4,397,88,80,490.6526467271049,0.0,0.8125,0.9954545454545455
flash,f3,2000,1.0,3,16,4,357,128,80,447.95310035773844,0.0625,0.875,0.9505859375
flash,f3,2000,1.0,4,16,4,363,122,80,437.76673155244606,0.08196721311475409,1.0,0.9881147540983607
pro,f3,2000,1.0,0,16,4,409,76,40,441.31720308915794,0.09210526315789473,0.8,0.9381578947368421
pro,f3,2000,1.0,1,16,4,414,71,40,480.3156925314006,0.014084507042253521,0.35,0.8926056338028169
pro,f3,2000,1.0,2,16,4,397,88,40,490.6526467271049,0.0,0.725,0.9213068181818181
pro,f3,2000,1.0,3,16,4,357,128,40,447.95310035773844,0.0625,0.925,0.956640625
pro,f3,2000,1.0,4,16,4,363,122,40,437.76673155244606,0.08196721311475409,0.85,0.9586065573770491
