corpus_variant,feature,author,n_documents,n_marks,consistency_C,nearest_other_D,nearest_other,ratio_D_over_C,margin_D_minus_C,between_author_baseline,C_over_baseline
all_documents,f1,"Butler, Ellis Parker",22,117977,0.12032099413502166,0.0010662798649684231,"Speed, Nell",0.008861960230912541,-0.11925471427005324,0.16891442246323624,0.7123192465179177
all_documents,f1,"Butler, Samuel",18,205129,0.05593545574099674,0.004453825334866477,"Huxley, Thomas Henry",0.0796243684057827,-0.05148163040613026,0.16891442246323624,0.3311467127868903
all_documents,f1,"Byron, George Gordon Byron, Baron",12,413087,0.12393661997444959,0.01272871802060198,"Lamb, Charles",0.10270344651343642,-0.11120790195384761,0.16891442246323624,0.7337243212693935
all_documents,f1,"Cabell, James Branch",13,153424,0.09849388276221638,0.00976835077005102,"Hardy, Thomas",0.09917723310425015,-0.08872553199216536,0.16891442246323624,0.5830993074830736
all_documents,f1,"Cable, George Washington",14,239305,0.05283452825702231,0.0044157518844285155,"Tarkington, Booth",0.08357700977185524,-0.0484187763725938,0.16891442246323624,0.31278873341038477
all_documents,f1,"Caine, Hall, Sir",17,361429,0.08992627378437568,0.004840709474213774,"Bacon, Josephine Daskam",0.05382975709435908,-0.0850855643101619,0.16891442246323624,0.5323777121752163
all_documents,f1,"Cannon, Richard",26,132228,0.017646893127468494,0.011459149615084862,"Maspero, G. (Gaston)",0.6493579086308386,-0.006187743512383633,0.16891442246323624,0.10447238826695981
all_documents,f1,"Carey, Rosa Nouchette",11,288341,0.02235243242337173,0.003333205937671025,"Brame, Charlotte M.",0.1491205017215854,-0.019019226485700702,0.16891442246323624,0.13232992243890054
all_documents,f1,"Carleton, William",21,426368,0.1303905802409206,0.004889201334343827,"Lever, Charles James",0.03749658391971358,-0.12550137890657675,0.16891442246323624,0.7719327831186218
all_documents,f1,"Carlyle, Thomas",35,559546,0.06637628875425639,0.02908832343626732,"Jameson, Mrs. (Anna)",0.4382336521398544,-0.037287965317989065,0.16891442246323624,0.3929580895835168
all_documents,f1,"Carroll, Lewis",19,129994,0.16011892453826956,0.060320896324729555,"Anstey, F.",0.3767255900492414,-0.09979802821354,0.16891442246323624,0.947929266212416
all_documents,f1,"Carter, Herbert, active 1909-1917",12,126057,0.023034265730839273,0.004336207537036426,"Mathews, Joanna H. (Joanna Hooe)",0.18825030446839566,-0.018698058193802845,0.16891442246323624,0.136366483068387
all_documents,f1,"Casanova, Giacomo",32,197400,0.029157512442576854,0.0052816977396047,"Henty, G. A. (George Alfred)",0.18114363322339438,-0.023875814702972155,0.16891442246323624,0.1726170685568481
all_documents,f1,"Castlemon, Harry",38,456572,0.03273158808810835,0.0026447872996784305,"Stacpoole, H. De Vere (Henry De Vere)",0.08080229081946998,-0.030086800788429922,0.16891442246323624,0.1937761596126127
all_documents,f1,"Catherwood, Mary Hartwell",20,88407,0.03812133650498241,0.0033323476077026415,"Crane, Stephen",0.08741423867096339,-0.034788988897279764,0.16891442246323624,0.22568431960438082
all_documents,f1,"Cawein, Madison Julius",19,85789,0.03922288627353742,0.040259260141368866,"Goethe, Johann Wolfgang von",1.0264226824258635,0.0010363738678314457,0.16891442246323624,0.23220566782610985
all_documents,f1,"Cervantes Saavedra, Miguel de",47,172891,0.048531089335284605,0.009992094188611913,"Collingwood, Harry",0.20589058118147668,-0.038538995146672694,0.16891442246323624,0.2873116968200111
all_documents,f1,"Chadwick, Lester",16,208345,0.014528222263023641,0.0010058070116654091,"Young, Clarence",0.06923125166011046,-0.013522415251358232,0.16891442246323624,0.08600936528191173
all_documents,f1,"Chambers, Robert W. (Robert William)",43,848955,0.029902963653828454,0.011768338658936854,"Deland, Margaret Wade Campbell",0.39355091338681286,-0.0181346249948916,0.16891442246323624,0.177030257202204
all_documents,f1,"Chapman, Allen",25,260481,0.035162602846769364,0.0004724761029332635,"Hancock, H. Irving (Harrie Irving)",0.013436892171839698,-0.0346901267438361,0.16891442246323624,0.20816815008453413
all_documents,f1,"Chase, Josephine",32,335447,0.0253445669594136,0.0069942219649184525,"Sheckley, Robert",0.27596533711224547,-0.018350344994495147,0.16891442246323624,0.15004383041909744
all_documents,f1,"Chekhov, Anton Pavlovich",23,268031,0.13031996221758896,0.015898254417033644,"Herrick, Robert",0.12199400726106024,-0.11442170780055531,0.16891442246323624,0.7715147132918904
all_documents,f1,"Chesterfield, Philip Dormer Stanhope, Earl of",12,52888,0.06899502970367624,0.014338566969412476,"Defoe, Daniel",0.20782028837431574,-0.054656462734263764,0.16891442246323624,0.40846144868827183
all_documents,f1,"Chesterton, G. K. (Gilbert Keith)",37,223598,0.1438243764886648,0.010015402224802128,"Seton, Ernest Thompson",0.06963633334848122,-0.13380897426386268,0.16891442246323624,0.8514629739208195
all_documents,f1,"Cholmondeley, Mary",11,133454,0.014450511180319025,0.00551413313351094,"Merriman, Henry Seton",0.38158740993335605,-0.008936378046808083,0.16891442246323624,0.08554930342590573
all_documents,f1,"Church, Alfred John",12,139674,0.04886775175351807,0.005546667978366508,"Hale, Edward Everett",0.11350364564228586,-0.04332108377515156,0.16891442246323624,0.28930479139017273
all_documents,f1,"Churchill, Winston",62,460412,0.0881525923173964,0.0038572765910350696,"London, Jack",0.04375681406108642,-0.08429531572636133,0.16891442246323624,0.5218772383784018
all_documents,f1,"Cicero, Marcus Tullius",14,271880,0.10946925080244542,0.019571157649301375,"Belloc, Hilaire",0.17878223798773069,-0.08989809315314404,0.16891442246323624,0.6480752158760813
all_documents,f1,"Cobb, Irvin S. (Irvin Shrewsbury)",24,177113,0.08923670119113837,0.004408107767579105,"Strang, Herbert",0.04939792382214204,-0.08482859342355926,0.16891442246323624,0.5282953337543482
all_documents,f1,"Cody, H. A. (Hiram Alfred)",12,194353,0.018746062684868794,0.007201320898619418,"Oppenheim, E. Phillips (Edward Phillips)",0.38415111587309947,-0.011544741786249375,0.16891442246323624,0.11097964526355839
all_documents,f1,"Coleridge, Samuel Taylor",18,310884,0.0962853668744386,0.005272624686079986,"Brandes, Georg",0.05476039461900559,-0.09101274218835861,0.16891442246323624,0.5700245453901064
all_documents,f1,"Collingwood, Harry",33,465840,0.016383681060511652,0.009249172542988304,"Cervantes Saavedra, Miguel de",0.5645356808904737,-0.007134508517523348,0.16891442246323624,0.09699397376252768
all_documents,f1,"Collins, Wilkie",35,760057,0.06913389632012575,0.006720560041492646,"Phelps, Elizabeth Stuart",0.09721078080675465,-0.0624133362786331,0.16891442246323624,0.4092835609414735
all_documents,f1,"Comstock, Harriet T. (Harriet Theresa)",10,150795,0.016986040289028347,0.009161783949891462,"Porter, Eleanor H. (Eleanor Hodgman)",0.5393713775546181,-0.007824256339136885,0.16891442246323624,0.10056003532040204
all_documents,f1,"Connor, Ralph",14,264332,0.0354365779872342,0.004720313074318723,"Matthews, Stanley R.",0.13320454012289748,-0.03071626491291548,0.16891442246323624,0.20979012609149392
all_documents,f1,"Conrad, Joseph",31,340352,0.1521952175889127,0.006505770616651121,"Atherton, Gertrude Franklin Horn",0.04274622238277914,-0.14568944697226158,0.16891442246323624,0.9010196723849176
all_documents,f1,"Conwell, Russell H.",11,23729,0.10736282590992294,0.003204852943227323,"Baring-Gould, S. (Sabine)",0.0298506761168543,-0.10415797296669561,0.16891442246323624,0.6356048485634207
all_documents,f1,"Coolidge, Susan",14,127438,0.0729432637395287,0.0012325205901615852,"Verne, Jules",0.016896976183609805,-0.07171074314936711,0.16891442246323624,0.43183561637790047
all_documents,f1,"Cooper, James Fenimore",38,960046,0.06632036179712579,0.005564908448953304,"Alcott, Louisa May",0.08390950076503469,-0.060755453348172485,0.16891442246323624,0.39262699318384275
all_documents,f1,"Corelli, Marie",14,386930,0.07298286253871382,0.033790156658427814,"Norris, Kathleen Thompson",0.46298754917298285,-0.039192705880286005,0.16891442246323624,0.4320700475094028
all_documents,f1,"Cory, David",15,56490,0.02938079250491676,0.005213347219705341,"Roy, Lillian Elizabeth",0.17744066021476132,-0.02416744528521142,0.16891442246323624,0.17393892171233283
all_documents,f1,"Couperus, Louis",13,211087,0.054356128616001996,0.0186352107347282,"Disraeli, Benjamin, Earl of Beaconsfield",0.3428355037272126,-0.035720917881273795,0.16891442246323624,0.32179684732268765
all_documents,f1,"Craik, Dinah Maria Mulock",15,225261,0.024425193617210524,0.0012845861331531139,"Oliphant, Mrs. (Margaret)",0.05259266940868655,-0.02314060748405741,0.16891442246323624,0.1446009953503325
all_documents,f1,"Crane, Stephen",13,123569,0.04085617253952425,0.0024267657588696234,"McCutcheon, George Barr",0.05939777536728314,-0.038429406780654624,0.16891442246323624,0.24187497990834075
