contrast,left,right,rival_mode,window_policy,feature,test_chunk_size,n_authors,accuracy_difference,accuracy_ci_low,accuracy_ci_high,accuracy_wilcoxon_p,kl_true_difference,kl_true_ci_low,kl_true_ci_high,kl_true_wilcoxon_p,margin_difference,margin_ci_low,margin_ci_high,margin_wilcoxon_p,gap_low,gap_high
two_books_500_vs_one_book_1000,two_books N=500,one_book N=1000,symmetric,middle,f3,2000,20,-0.004777030932061455,-0.12192019618316076,0.11247344727923189,1.0,-0.02503909273806789,-0.048575842557866136,-0.005609079647991983,0.039989471435546875,0.021996998230878122,0.002044258856642031,0.046085494396117,0.1230926513671875,,
P3a,two_books N=1000,one_book N=2000,symmetric,middle,f3,1000,19,0.026353169221816512,-0.04255493046931796,0.08992759296809348,0.3061029943646809,0.003701924969446254,-0.017634848713866873,0.028936973983725457,0.48996734619140625,-0.009535422450555747,-0.03817512408823395,0.013324967554772941,0.5412178039550781,,
P3b,two_books N=2000,one_book N=4000,symmetric,middle,f3,1000,18,0.0071096868070360175,-0.048071317259565254,0.060093820906147864,0.7945864126678862,-0.013420782075603698,-0.03129584892512363,0.0007827957507121215,0.0987396240234375,0.009594750964516301,-0.004517656919545849,0.02515806960619733,0.32472991943359375,,
two_books_500_vs_one_book_1000,two_books N=500,one_book N=1000,symmetric,middle,f3,1000,20,-0.009098342267374706,-0.09238751700472571,0.08178613779733915,0.8106969968597719,-0.02631882546313214,-0.04927263541541814,-0.007074249017239367,0.029575347900390625,0.021527573108462036,0.0024128208691234815,0.044433078491478574,0.10539817810058594,,
P3a,two_books N=1000,one_book N=2000,symmetric,middle,f1,2000,18,0.01369012156608751,-0.07555796756787031,0.10195192716992424,0.932281494140625,-0.002571362539384399,-0.009461035282139629,0.004850800713130317,0.2121429443359375,0.0017040900073915434,-0.007055161245248644,0.010041843171971848,0.34654998779296875,,
P3b,two_books N=2000,one_book N=4000,symmetric,middle,f1,2000,17,0.03287128284279556,-0.04765180600481938,0.11401349240664874,0.46911315243545415,-0.0018086000417957778,-0.0069434871663046896,0.0027303894350743465,0.328948974609375,0.0011019742558343176,-0.003639869450062865,0.005754765198440481,0.6112213134765625,,
two_books_500_vs_one_book_1000,two_books N=500,one_book N=1000,symmetric,middle,f1,2000,20,0.033960276771647535,-0.0643330285052252,0.1312726267184836,0.42086289683963596,-0.01398208214824399,-0.026545279221417417,-0.003674229080666644,0.029575347900390625,0.012915629859800543,0.002824140047053509,0.024737170403865104,0.04405403137207031,,
P3a,two_books N=1000,one_book N=2000,symmetric,middle,f1,1000,19,0.020216758412529855,-0.046818357335928255,0.08955639301519602,0.5595091741435549,-0.000885697536892213,-0.008180826981961061,0.007016912146795058,0.37359619140625,-0.0010042687350731007,-0.01215206453533927,0.00874499785395552,0.5948867797851562,,
P3b,two_books N=2000,one_book N=4000,symmetric,middle,f1,1000,18,0.0047076767266010545,-0.06403822327673168,0.07123344831605959,0.9749599188317098,-0.005062335390297771,-0.012560284204543767,0.0013381283751748088,0.16735076904296875,0.0036999965901755327,-0.0024484928590854517,0.010085819819927807,0.24620819091796875,,
two_books_500_vs_one_book_1000,two_books N=500,one_book N=1000,symmetric,middle,f1,1000,20,0.0011743716828764683,-0.08152780870595047,0.08599130342650307,0.9679000486136345,-0.014007497797530206,-0.026059465765142373,-0.004011687978843999,0.029575347900390625,0.01236285891934755,0.0027264403060371493,0.023670552000164415,0.058258056640625,,
P3a,two_books N=1000,one_book N=2000,asymmetric,random,f3,2000,18,0.03344660854309913,0.005686063220096361,0.06823296991215733,0.045117871151280915,-0.009190913073582739,-0.0210381792276373,0.00075796667177591,0.0736846923828125,0.009190913073582729,-0.0007579666717759311,0.021038179227637285,0.0736846923828125,,
P3b,two_books N=2000,one_book N=4000,asymmetric,random,f3,2000,17,0.016283134525797972,-0.03302509328380157,0.06148596416546087,0.3010541816225988,-0.007233689730533358,-0.017006574579199574,0.001042553836151812,0.1323699951171875,0.0072336897305333575,-0.001042553836151818,0.017006574579199574,0.1323699951171875,,
two_books_500_vs_one_book_1000,two_books N=500,one_book N=1000,asymmetric,random,f3,2000,20,0.013988183249250821,-0.014682192157942637,0.04317067067512392,0.5958194732666016,-0.005320023620272412,-0.014533052842692667,0.002598129648401781,0.6215133666992188,0.005320023620272405,-0.0025981296484017917,0.014533052842692656,0.6215133666992188,,
