rival_mode,window_policy,feature,test_chunk_size,budget_n,design,reference_marks,predicted_n_eff,n_authors,n_chunk_observations,macro_accuracy,macro_accuracy_ci_low,macro_accuracy_ci_high,macro_kl_true,macro_kl_true_ci_low,macro_kl_true_ci_high,macro_margin,macro_margin_ci_low,macro_margin_ci_high
asymmetric,middle,f1,2000,2000,one_book,4000,1137.3861755636717,18,473,0.5029179165473614,0.3712752880367867,0.6392878327213675,0.042116071908662275,0.027656033683685174,0.058841587153326935,-0.012802739978672492,-0.0285653405481056,0.0003374157255531347
asymmetric,middle,f1,2000,2000,two_books,4000,1771.1515337877097,18,473,0.5593832009454345,0.41985504955299635,0.6984761304112275,0.0370211213390603,0.021745561272087526,0.055106914196040316,-0.007707789409070524,-0.025669173238286117,0.006710346476630702
asymmetric,middle,f1,2000,4000,one_book,8000,1325.8926754860408,17,464,0.5677044848648458,0.4199453785791123,0.7121080095923739,0.033182811113267444,0.02159937861714983,0.04746433811051513,-0.0047097112102434556,-0.019585846045408466,0.007933125256056323
asymmetric,middle,f1,2000,4000,two_books,8000,2274.7723511273434,17,464,0.6206743195898624,0.4850145447285147,0.7538663868186051,0.02817332906771309,0.018356570060876997,0.04021030515907276,0.0002997708353108967,-0.012200033657244511,0.010738767061645428
asymmetric,middle,f3,1000,500,one_book,1000,613.794846112894,20,1003,0.41761110328826456,0.3178735053853964,0.5166280755953969,0.14772534298503442,0.10952722861298032,0.18910879961257016,-0.05231499026466215,-0.08999140131384353,-0.020589687957418116
asymmetric,middle,f3,1000,500,two_books,1000,760.68509896574,20,1003,0.4994734800757186,0.40112665699630584,0.5964343329756889,0.13283941011606865,0.09082002574303749,0.18531981565749692,-0.03742905739569634,-0.08678634021550723,-0.000614504761282726
asymmetric,middle,f3,1000,1000,one_book,2000,885.5757668938548,20,1003,0.48579277512772057,0.38247684158246176,0.5936187553184423,0.15915823557920072,0.10076848759237426,0.23264856998451244,-0.06374788285882847,-0.1352197603637435,-0.011047471967859712
asymmetric,middle,f3,1000,1000,two_books,2000,1227.589692225788,20,1003,0.5523322240250836,0.43804889362901983,0.6560890249787963,0.12806503733833552,0.08638816534192457,0.17646964665270978,-0.03265468461796325,-0.07795693911874016,0.0027554087736461727
asymmetric,middle,f3,1000,2000,one_book,4000,1137.3861755636717,19,977,0.497891875563004,0.3828200485696983,0.6073343628716471,0.12763655649708447,0.09420515311583631,0.16662114243145076,-0.028727042133334393,-0.059495297044975366,-0.004082720464099622
asymmetric,middle,f3,1000,2000,two_books,4000,1771.1515337877097,19,977,0.5779689654162499,0.4470776468638772,0.6896423825918979,0.11295567914228037,0.07719411691369268,0.15864886364800931,-0.014046164778530294,-0.04872241776121521,0.014126473876765614
asymmetric,middle,f3,1000,4000,one_book,8000,1325.8926754860408,18,959,0.5384168222518971,0.41098210170193983,0.6574334719804874,0.10887504624145562,0.08027241257578312,0.14475533213117414,-0.015260836357276701,-0.044685665975591586,0.008863997603504486
asymmetric,middle,f3,1000,4000,two_books,8000,2274.7723511273434,18,959,0.6026749556505918,0.46308377913536025,0.7220956800661958,0.08987863234216649,0.06949140663585257,0.11550319490584979,0.003735577542012419,-0.018478869891606686,0.020357288623324945
asymmetric,middle,f3,2000,500,one_book,1000,613.794846112894,20,485,0.45576071472505353,0.3314306175320293,0.58309710194854,0.13272454670216266,0.0969608693162151,0.17251255714832692,-0.04545512590272175,-0.08513949856944018,-0.013744649359824208
asymmetric,middle,f3,2000,500,two_books,1000,760.68509896574,20,485,0.5132845145600488,0.404193318111604,0.6276923845694543,0.11898462213397512,0.07772516256496131,0.17171809626139506,-0.03171520133453421,-0.08424959291606564,0.005486031728763717
asymmetric,middle,f3,2000,1000,one_book,2000,885.5757668938548,20,485,0.5176559740882919,0.39877824706463627,0.6338567160483343,0.14402371487204302,0.08630003345000843,0.22025924422279183,-0.056754294072602095,-0.13225319807975244,-0.004357317776207917
asymmetric,middle,f3,2000,1000,two_books,2000,1227.589692225788,20,485,0.594350421571938,0.4630413600551883,0.7135692751087199,0.1120879767710206,0.07238823454546564,0.16073278467246638,-0.024818555971579653,-0.07072490791077729,0.009757071558263553
asymmetric,middle,f3,2000,2000,one_book,4000,1137.3861755636717,18,473,0.5850146468883922,0.45215170203639937,0.7116932805311805,0.10127322957983792,0.07207864065728561,0.1360161185586489,-0.013209422127559206,-0.044364540610554816,0.011862641297424136
asymmetric,middle,f3,2000,2000,two_books,4000,1771.1515337877097,18,473,0.6624995744634526,0.5363269531512181,0.7792087589886125,0.09229801337570989,0.05797961734771111,0.134264849739873,-0.004234205923431194,-0.03817724219265075,0.02323756091049307
asymmetric,middle,f3,2000,4000,one_book,8000,1325.8926754860408,17,464,0.639932177170405,0.5018040247515902,0.7666718449755119,0.08086319010640428,0.05774246784280116,0.10915609415501096,0.0016100038879658047,-0.023916203302395755,0.023590255356805593
